,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,0,pacific grove,36.62,-121.92,70.0,56,40,14.99,US,1595451206
1,1,laguna,38.42,-121.42,84.0,39,1,12.75,US,1595451206
2,2,miri,4.41,114.01,75.2,94,40,2.24,MY,1595451491
3,3,veraval,20.9,70.37,83.28,82,100,13.29,IN,1595451496
4,4,dikson,73.51,80.55,39.96,93,27,7.76,RU,1595451476
5,5,castro,-24.79,-50.01,61.79,72,97,1.99,BR,1595451207
6,6,vaini,-21.2,-175.2,68.0,88,40,3.36,TO,1595451207
7,7,butaritari,3.07,172.79,83.44,75,50,14.81,KI,1595451207
8,8,hilo,19.73,-155.09,82.4,58,90,5.82,US,1595451207
9,9,cape town,-33.93,18.42,55.0,93,0,3.36,ZA,1595451430
10,10,geraldton,-28.77,114.6,60.8,87,40,8.05,AU,1595451476
11,11,atuona,-9.8,-139.03,79.57,74,0,17.83,PF,1595451435
12,12,barrow,71.29,-156.79,39.2,86,90,9.17,US,1595451134
13,13,ahipara,-35.17,173.17,58.14,77,36,15.55,NZ,1595451209
14,14,puerto ayora,-0.74,-90.35,80.6,57,40,18.34,EC,1595451129
15,15,thompson,55.74,-97.86,80.6,42,75,11.41,CA,1595451438
16,16,lebu,-37.62,-73.65,52.57,79,32,2.66,CL,1595451491
17,17,brae,60.4,-1.35,55.4,87,49,10.29,GB,1595451210
18,18,ushuaia,-54.8,-68.3,35.6,59,93,9.17,AR,1595451001
19,19,busselton,-33.65,115.33,57.0,59,38,21.09,AU,1595450984
20,20,colares,38.8,-9.45,73.99,68,0,12.75,PT,1595450963
21,21,lavrentiya,65.58,-171.0,51.15,58,0,4.7,RU,1595451211
22,22,maniitsoq,65.42,-52.9,55.04,73,2,11.36,GL,1595451552
23,23,georgetown,5.41,100.34,78.8,88,40,2.24,MY,1595451212
24,24,mahebourg,-20.41,57.7,69.8,52,75,16.11,MU,1595451412
25,25,tuktoyaktuk,69.45,-133.04,46.4,75,40,9.17,CA,1595451448
26,26,punta arenas,-53.15,-70.92,28.4,100,20,5.82,CL,1595451125
27,27,chuy,-33.7,-53.46,64.4,97,100,5.88,UY,1595451460
28,28,srednekolymsk,67.45,153.68,76.69,34,99,7.83,RU,1595451413
29,29,avarua,-21.21,-159.78,77.0,88,5,13.87,CK,1595451418
30,30,bethel,41.37,-73.41,88.0,58,40,11.41,US,1595451116
31,31,lata,40.16,-8.33,79.0,45,0,4.0,PT,1595451213
32,32,sao joao da barra,-21.64,-41.05,77.0,69,0,11.41,BR,1595451214
33,33,samarai,-10.62,150.67,76.73,82,15,10.49,PG,1595451527
34,34,xuddur,4.12,43.89,73.17,68,61,20.45,SO,1595451215
35,35,namibe,-15.2,12.15,66.31,71,0,2.89,AO,1595451538
36,36,arraial do cabo,-22.97,-42.03,73.4,88,0,9.17,BR,1595451215
37,37,dunedin,-45.87,170.5,39.0,70,3,27.0,NZ,1595451177
38,38,atar,20.52,-13.05,99.86,20,63,4.25,MR,1595451216
39,39,aginskoye,51.1,114.53,63.68,68,100,7.38,RU,1595451557
40,40,luderitz,-26.65,15.16,55.4,87,0,2.24,,1595451557
41,41,gilgit,35.92,74.31,75.0,32,0,1.21,PK,1595451217
42,42,mar del plata,-38.0,-57.56,50.0,93,90,26.4,AR,1595451051
43,43,kaitangata,-46.28,169.85,37.0,76,51,4.0,NZ,1595451123
44,44,hithadhoo,-0.6,73.08,83.5,71,58,5.1,MV,1595451217
45,45,watrous,51.67,-105.47,83.48,51,31,16.17,CA,1595451558
46,46,puerto narino,-3.77,-70.38,82.4,69,75,6.93,CO,1595451558
47,47,hami,42.8,93.45,80.73,27,100,6.06,CN,1595451218
48,48,laminusa,5.55,120.91,83.91,75,94,9.15,PH,1595451559
49,49,nantucket,41.28,-70.1,75.2,88,40,11.41,US,1595451218
50,50,albany,42.6,-73.97,87.01,60,63,1.66,US,1595451219
51,51,ancud,-41.87,-73.82,51.8,57,87,6.93,CL,1595451157
52,52,kloulklubed,7.04,134.26,75.2,94,75,5.06,PW,1595451559
